Produktsortiment,Prozessornummer,Lithographie,Empfohlener Kundenpreis,Anzahl der Kerne,Gesamte Threads,Max. Turbo-Taktfrequenz,Intel® Turbo-Boost-Technik 2.0 Taktfrequenz‡,Grundtaktfrequenz des Prozessors,Cache,Bus-Taktfrequenz,Verlustleistung (TDP),# of Performance-cores,# of Efficiency-cores,Intel® Turbo Boost Max Technology 3.0 Frequency ‡,Single P-core Turbo Frequency,Single E-core Turbo Frequency,P-core Base Frequency,E-core Base Frequency,Total L2 Cache,Processor Base Power,Maximum Turbo Power,Einführungsdatum,Expected Discontinuance,Grundtaktfrequenz der Grafik,Max. dynamische Grafikfrequenz,Max. Videospeicher der Grafik,4K-Unterstützung,Max. Auflösung (HDMI)‡,Max. Auflösung (DP)‡,Max. Auflösung (eDP – integrierter Flachbildschirm)‡,PCI-Express-Konfigurationen ‡,Thermische Spezifikation des Kühlers
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4785T,22 nm,,4,8,3.20 GHz,3.20 GHz,2 | 20 GHz,8 MB Intel® Smart Cache,5 GT/s,35 W,,,,,,,,,,,Q2'14,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013A
Intel® Core™ i7 Prozessoren der fünften Generation,i7-5775R,14 nm,,4,8,3.80 GHz,3.80 GHz,3 | 30 GHz,6 MB,5 GT/s,65 W,,,,,,,,,,,Q2'15,,300 MHz,1.15 GHz,32 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCA 2013D
Intel® Core™ i7 Prozessoren der fünften Generation,i7-5775C,14 nm,,4,8,3.70 GHz,3.70 GHz,3 | 30 GHz,6 MB,5 GT/s,65 W,,,,,,,,,,,Q2'15,,300 MHz,1.15 GHz,32 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCA 2013D
Intel® Core™ i7 Prozessoren der sechsten Generation,i7-6700K,14 nm,,4,8,4.20 GHz,4.20 GHz,4 | 00 GHz,8 MB Intel® Smart Cache,8 GT/s,91 W,,,,,,,,,,,Q3'15,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D (130W)
Intel® Core™ i7 Prozessoren der sechsten Generation,i7-6700,14 nm,$303.00,4,8,4.00 GHz,4.00 GHz,3 | 40 GHz,8 MB Intel® Smart Cache,8 GT/s,65 W,,,,,,,,,,,Q3'15,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der sechsten Generation,i7-6700T,14 nm,,4,8,3.60 GHz,3.60 GHz,2 | 80 GHz,8 MB Intel® Smart Cache,8 GT/s,35 W,,,,,,,,,,,Q3'15,,350 MHz,1.10 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der sechsten Generation,i7-6785R,14 nm,,4,8,3.90 GHz,3.90 GHz,3 | 30 GHz,8 MB,8 GT/s,65 W,,,,,,,,,,,Q2'16,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,1x16 | 2x8 | 1x8+2x4,PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der siebten Generation,i7-7700T,14 nm,$303.00,4,8,3.80 GHz,3.80 GHz,2 | 90 GHz,8 MB Intel® Smart Cache,8 GT/s,35 W,,,,,,,,,,,Q1'17,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der siebten Generation,i7-7700,14 nm,$303.00,4,8,4.20 GHz,4.20 GHz,3 | 60 GHz,8 MB Intel® Smart Cache,8 GT/s,65 W,,,,,,,,,,,Q1'17,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der siebten Generation,i7-7700K,14 nm,$339.00,4,8,4.50 GHz,4.50 GHz,4 | 20 GHz,8 MB Intel® Smart Cache,8 GT/s,91 W,,,,,,,,,,,Q1'17,,350 MHz,1.15 GHz,64 GB,Yes |  at 60Hz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D (130W)
